Date,League,Season,Home Team,Away Team,Home Goals,Away Goals,Venue,Result,Home Win,Away Win,Draw,Total Goals,Goal Difference,Home Points,Away Points
2025-04-13,National Super League,2024/2025,3K FC,SS Assad,3,2,Not listed,Home,1,0,0,5,1,3,0
2025-04-13,National Super League,2024/2025,Luanda Villa,APS Bomet,1,0,Not listed,Home,1,0,0,1,1,3,0
2025-04-13,National Super League,2024/2025,MOFA FC.,Fortune Sacco,0,2,Not listed,Away,0,1,0,2,-2,0,3
2025-04-13,National Super League,2024/2025,Vihiga United,Samwest Blackboots,0,3,Not listed,Away,0,1,0,3,-3,0,3
2025-04-12,National Super League,2024/2025,Kisumu Allstars,Naivas FC,1,0,Not listed,Home,1,0,0,1,1,3,0
2025-04-12,National Super League,2024/2025,MCF FC,Nzoia Sugar,4,0,Not listed,Home,1,0,0,4,4,3,0
2025-04-12,National Super League,2024/2025,Mombasa Stars,Darajani Gogo,3,0,Not listed,Home,1,0,0,3,3,3,0
2025-04-06,National Super League,2024/2025,3K FC,Kisumu Allstars,3,1,Not listed,Home,1,0,0,4,2,3,0
2025-04-06,National Super League,2024/2025,Fortune Sacco,Nzoia Sugar,4,0,Not listed,Home,1,0,0,4,4,3,0
2025-04-06,National Super League,2024/2025,Migori Youth FC,Darajani Gogo,0,0,Not listed,Draw,0,0,1,0,0,1,1
2025-04-06,National Super League,2024/2025,Nairobi United,Mombasa Stars,6,2,Not listed,Home,1,0,0,8,4,3,0
2025-04-06,National Super League,2024/2025,Vihiga United,MCF FC,1,0,Not listed,Home,1,0,0,1,1,3,0
2025-04-05,National Super League,2024/2025,Mombasa United FC,APS Bomet,0,0,Not listed,Draw,0,0,1,0,0,1,1
2025-03-23,National Super League,2024/2025,SS Assad,Nzoia Sugar,2,0,Not listed,Home,1,0,0,2,2,3,0
2025-03-23,National Super League,2024/2025,Samwest Blackboots,Kibera Black Stars,0,1,Not listed,Away,0,1,0,1,-1,0,3
2025-03-23,National Super League,2024/2025,Vihiga United,Migori Youth FC,2,0,Not listed,Home,1,0,0,2,2,3,0
2025-03-22,National Super League,2024/2025,MCF FC,Kisumu Allstars,1,0,Not listed,Home,1,0,0,1,1,3,0
2025-03-22,National Super League,2024/2025,MOFA FC.,Mombasa United FC,1,0,Not listed,Home,1,0,0,1,1,3,0
2025-03-22,National Super League,2024/2025,Mombasa Stars,3K FC,2,3,Not listed,Away,0,1,0,5,-1,0,3
2025-03-22,National Super League,2024/2025,Nairobi United,Darajani Gogo,4,1,Not listed,Home,1,0,0,5,3,3,0
2025-03-22,National Super League,2024/2025,Naivas FC,Fortune Sacco,1,0,Not listed,Home,1,0,0,1,1,3,0
2025-03-16,National Super League,2024/2025,APS Bomet,Nairobi United,0,0,Not listed,Draw,0,0,1,0,0,1,1
2025-03-16,National Super League,2024/2025,Fortune Sacco,SS Assad,2,2,Not listed,Draw,0,0,1,4,0,1,1
2025-03-16,National Super League,2024/2025,Luanda Villa,MCF FC,0,0,Not listed,Draw,0,0,1,0,0,1,1
2025-03-16,National Super League,2024/2025,Migori Youth FC,MOFA FC.,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-03-15,National Super League,2024/2025,Darajani Gogo,Vihiga United,2,1,Not listed,Home,1,0,0,3,1,3,0
2025-03-15,National Super League,2024/2025,Mombasa United FC,Mombasa Stars,0,1,Not listed,Away,0,1,0,1,-1,0,3
2025-03-15,National Super League,2024/2025,Nzoia Sugar,Samwest Blackboots,3,3,Not listed,Draw,0,0,1,6,0,1,1
2025-03-14,National Super League,2024/2025,Kibera Black Stars,Naivas FC,0,1,Not listed,Away,0,1,0,1,-1,0,3
2025-03-12,National Super League,2024/2025,MOFA FC.,APS Bomet,0,1,Not listed,Away,0,1,0,1,-1,0,3
2025-03-12,National Super League,2024/2025,Nairobi United,Fortune Sacco,4,3,Not listed,Home,1,0,0,7,1,3,0
2025-03-09,National Super League,2024/2025,MCF FC,Kibera Black Stars,2,0,Not listed,Home,1,0,0,2,2,3,0
2025-03-09,National Super League,2024/2025,Mombasa Stars,Migori Youth FC,1,2,Not listed,Away,0,1,0,3,-1,0,3
2025-03-09,National Super League,2024/2025,SS Assad,Mombasa United FC,2,3,Not listed,Away,0,1,0,5,-1,0,3
2025-03-09,National Super League,2024/2025,Samwest Blackboots,Luanda Villa,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-03-09,National Super League,2024/2025,Vihiga United,Kisumu Allstars,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-03-08,National Super League,2024/2025,Naivas FC,Nzoia Sugar,3,1,Not listed,Home,1,0,0,4,2,3,0
2025-02-15,National Super League,2024/2025,Mombasa Stars,APS Bomet,0,0,Not listed,Draw,0,0,1,0,0,1,1
2025-02-15,National Super League,2024/2025,Nairobi United,Kisumu Allstars,0,0,Not listed,Draw,0,0,1,0,0,1,1
2025-02-15,National Super League,2024/2025,Naivas FC,Migori Youth FC,0,1,Not listed,Away,0,1,0,1,-1,0,3
2025-02-09,National Super League,2024/2025,3K FC,Mombasa Stars,3,1,Not listed,Home,1,0,0,4,2,3,0
2025-02-09,National Super League,2024/2025,APS Bomet,Muhoroni Youth,1,0,Not listed,Home,1,0,0,1,1,3,0
2025-02-09,National Super League,2024/2025,Kisumu Allstars,MCF FC,0,0,Not listed,Draw,0,0,1,0,0,1,1
2025-02-09,National Super League,2024/2025,Migori Youth FC,Vihiga United,0,0,Not listed,Draw,0,0,1,0,0,1,1
2025-02-09,National Super League,2024/2025,Mombasa United FC,MOFA FC.,2,0,Not listed,Home,1,0,0,2,2,3,0
2025-02-09,National Super League,2024/2025,Nzoia Sugar,SS Assad,6,0,Not listed,Home,1,0,0,6,6,3,0
2025-02-08,National Super League,2024/2025,Darajani Gogo,Nairobi United,0,1,Not listed,Away,0,1,0,1,-1,0,3
2025-02-08,National Super League,2024/2025,Fortune Sacco,Naivas FC,2,4,Not listed,Away,0,1,0,6,-2,0,3
2025-02-07,National Super League,2024/2025,Kibera Black Stars,Samwest Blackboots,4,0,Not listed,Home,1,0,0,4,4,3,0
2025-02-07,National Super League,2024/2025,Luanda Villa,MOFA FC.,2,1,Not listed,Home,1,0,0,3,1,3,0
2025-02-07,National Super League,2024/2025,Migori Youth FC,MCF FC,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-01-26,National Super League,2024/2025,3K FC,APS Bomet,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-01-26,National Super League,2024/2025,Luanda Villa,Nzoia Sugar,2,3,Not listed,Away,0,1,0,5,-1,0,3
2025-01-26,National Super League,2024/2025,Migori Youth FC,Mombasa United FC,0,1,Not listed,Away,0,1,0,1,-1,0,3
2025-01-26,National Super League,2024/2025,Mombasa Stars,Fortune Sacco,1,2,Not listed,Away,0,1,0,3,-1,0,3
2025-01-26,National Super League,2024/2025,Vihiga United,Naivas FC,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-01-25,National Super League,2024/2025,Kisumu Allstars,Darajani Gogo,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-01-25,National Super League,2024/2025,MCF FC,Nairobi United,0,1,Not listed,Away,0,1,0,1,-1,0,3
2025-01-12,National Super League,2024/2025,Kisumu Allstars,Mombasa United FC,0,0,Not listed,Draw,0,0,1,0,0,1,1
2025-01-12,National Super League,2024/2025,Luanda Villa,Nairobi United,1,2,Not listed,Away,0,1,0,3,-1,0,3
2025-01-12,National Super League,2024/2025,MCF FC,Samwest Blackboots,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-01-12,National Super League,2024/2025,Migori Youth FC,Fortune Sacco,1,1,Not listed,Draw,0,0,1,2,0,1,1
2025-01-12,National Super League,2024/2025,Mombasa Stars,Naivas FC,1,4,Not listed,Away,0,1,0,5,-3,0,3
2025-01-11,National Super League,2024/2025,3K FC,Kibera Black Stars,0,1,Not listed,Away,0,1,0,1,-1,0,3
2025-01-11,National Super League,2024/2025,MOFA FC.,Darajani Gogo,1,0,Not listed,Home,1,0,0,1,1,3,0
2025-01-11,National Super League,2024/2025,Muhoroni Youth,Nzoia Sugar,2,3,Not listed,Away,0,1,0,5,-1,0,3
2025-01-11,National Super League,2024/2025,Vihiga United,SS Assad,2,1,Not listed,Home,1,0,0,3,1,3,0
